time_ps,mlp_force_sum,mha_force_sum,conv_force_sum,comb_force_sum,MACE_force_sum
0.037,1.7164172e-06,1.7119644e-06,2.4534027e-06,3.9339066e-06,8.086357243644102e-15
0.0375,1.5716311e-06,2.8115849e-06,1.952507e-06,5.585372e-06,1.0068810866857321e-14
0.038,1.8322976e-06,1.6946918e-06,2.071851e-06,1.013279e-06,1.2397766613453268e-14
0.0385,1.7774281e-06,3.3545346e-06,3.898783e-06,2.6226044e-06,7.084580093039168e-15
0.039,2.5838804e-06,2.2421204e-06,4.7280614e-06,3.9253177e-06,1.1787201827917035e-14
0.0395,7.20822e-07,2.314338e-06,2.112867e-06,3.3611946e-06,1.3493663612463621e-14
0.04,1.5442665e-06,1.4593298e-06,3.0155252e-06,1.8167199e-06,4.553268130182947e-15
0.0405,4.5588786e-07,2.692867e-06,4.12633e-06,1.1246182e-06,5.079194502187911e-15
0.041,2.7714557e-06,3.1170887e-06,2.315393e-06,1.344742e-06,2.24056099796462e-14
0.0415,1.887219e-06,1.981028e-06,4.5945862e-06,2.9802322e-06,1.2053975194117296e-14
0.042,1.3968994e-06,3.0071285e-06,3.0306192e-06,4.3723167e-06,1.5425309414636963e-14
0.0425,1.7866486e-06,1.0125117e-06,2.4020005e-06,1.6082213e-06,2.0890196695067104e-14
0.043,8.156259e-07,4.467592e-06,2.2150666e-06,3.188152e-06,1.3089807248555365e-14
0.0435,2.017113e-06,3.0813803e-06,2.8968102e-06,2.6921248e-06,6.8528735406352245e-15
0.044,2.3718605e-06,3.209603e-06,8.264437e-07,2.455393e-06,1.1757885593931518e-14
0.0445,2.9711287e-06,2.229517e-06,1.8352036e-06,3.9716556e-06,1.2390805207033134e-14
0.045,1.7254489e-06,2.5358695e-06,2.215217e-06,1.7970578e-06,1.442820145814573e-14
0.0455,1.685347e-06,3.5641588e-06,2.2460752e-06,2.999245e-06,6.473657049138937e-15
0.046,2.384372e-06,3.5804983e-06,2.8186444e-06,1.5497208e-06,9.835974504560829e-15
0.0465,2.0377577e-06,1.2894671e-06,4.0929126e-06,5.013881e-06,9.490945928353205e-15
0.047,1.141569e-06,3.3189222e-06,1.2388592e-06,2.9053826e-06,1.9298729359143577e-14
0.0475,7.7141397e-07,3.637837e-07,1.3618063e-06,3.0931308e-06,9.131542195718628e-15
0.048,1.8123145e-06,2.9330906e-06,2.342091e-06,1.1055015e-06,7.464959971954173e-15
0.0485,2.7459002e-06,3.5294054e-06,3.8133e-06,6.8480523e-07,8.631939393233329e-15
0.049,1.6255931e-06,1.1061603e-06,4.0406335e-06,2.460452e-06,1.5023742093977852e-14
0.0495,4.79623e-07,2.1737444e-06,3.537857e-06,2.4640592e-06,1.2956830684714012e-14
0.05,1.9001171e-06,3.1120246e-06,2.00386e-06,2.2618372e-06,6.3816098464286216e-15
0.0505,8.0245206e-07,2.098949e-06,1.9214988e-06,3.705089e-06,5.608549598219476e-15
0.051,2.5982772e-06,1.3741475e-06,1.4603138e-06,2.1729143e-06,9.12614131268178e-15
0.0515,1.8537428e-06,1.0503998e-06,4.8471625e-06,2.3849307e-06,1.1959529375267435e-14
0.052,1.060812e-06,1.8680613e-06,2.1137075e-06,1.0460573e-06,1.1336241521825497e-14
0.0525,1.9934166e-06,2.199638e-06,2.2338327e-06,2.6178589e-06,1.4523143066618467e-14
0.053,9.206217e-07,2.5244608e-06,3.4349034e-06,9.555351e-07,9.679336673896576e-15
0.0535,1.7298188e-06,3.4850962e-06,3.5795367e-06,2.1622607e-06,8.392287393450218e-15
0.054,1.8292047e-06,3.0725403e-06,2.0023635e-06,9.156639e-07,1.3354095566024866e-14
0.0545,1.3933981e-06,3.0041274e-06,2.430717e-06,3.258145e-06,1.227888596373327e-14
0.055,1.7125966e-06,2.0416767e-06,1.2077297e-06,3.7866546e-06,1.6564661467981386e-14
0.0555,2.394455e-06,1.279766e-06,2.293472e-06,5.459278e-06,2.1548911255266753e-14
0.056,2.344744e-06,2.3335547e-06,1.5532272e-06,2.1663643e-06,5.7011871119473445e-15
0.0565,1.4042714e-06,2.9338357e-06,2.4813453e-06,3.928484e-06,1.55534281419461e-14
0.057,2.0763473e-06,2.5804407e-06,2.7705341e-06,1.3328004e-06,8.076443282810969e-15
0.0575,2.567371e-06,2.392553e-06,1.5208677e-06,3.7645418e-06,7.0601804827251186e-15
0.058,2.277929e-06,2.9744244e-06,3.0407498e-06,3.5242429e-06,1.1732699091047488e-14
0.0585,2.214064e-06,1.0616751e-06,1.4721261e-06,2.6441899e-06,1.0282007938688807e-14
0.059,1.5511529e-06,3.6850258e-07,1.5203749e-06,5.005371e-06,6.88696318607943e-15
0.0595,1.5719842e-06,4.3355976e-06,2.914701e-06,1.9147847e-06,1.0614684356047514e-14
0.06,7.925681e-07,1.3811988e-06,3.0310955e-06,3.4472928e-06,1.333608474299732e-14
0.0605,2.07035e-06,2.3085531e-06,2.1598462e-06,1.8886303e-06,1.1705879054014635e-14
0.061,1.5899616e-06,2.3498994e-06,2.132689e-06,1.3167096e-06,7.803217357074379e-15
0.0615,1.1958124e-06,3.7096877e-06,2.703483e-06,1.7026492e-06,1.6736404963781187e-14
0.062,6.6171896e-07,8.864704e-07,1.1453799e-06,2.4401534e-06,1.2300950466638963e-14
0.0625,1.320078e-06,3.5092808e-06,3.4174052e-06,2.5761346e-06,1.0077987971177841e-14
0.063,1.9045526e-06,1.5394421e-06,1.8019934e-06,2.996875e-06,1.0112175573993643e-14
0.0635,9.807636e-07,2.7842552e-06,3.6386e-06,1.6646671e-06,8.603333053107398e-15
0.064,2.473054e-06,2.455393e-06,3.770789e-06,3.530286e-06,5.247492350911142e-15
0.0645,2.2557917e-06,1.6512115e-06,2.5847824e-06,2.9200194e-07,7.724033107467241e-15
0.065,1.821846e-06,2.1963042e-06,2.04609e-06,1.4367068e-06,9.982133694292471e-15
0.0655,1.0995603e-06,2.2596305e-06,4.374982e-06,1.6827099e-06,6.67266204946136e-15
0.066,2.3602236e-06,2.2563331e-06,3.544629e-06,4.854029e-06,9.704136775662135e-15
0.0665,3.3119486e-06,3.6381118e-06,1.5353982e-06,3.3806923e-06,7.69665665087383e-15
0.067,2.843624e-06,1.9448298e-06,1.9533597e-06,1.4016599e-06,1.6288526917397583e-15
