Frame,Hydrogen,Donor,Acceptor(s),Donor-Hydrogen Distance,Hydrogen-Acceptor(s) Distance(s),Donor-Acceptor(s) Distance(s),Angle(A-H-D)
0,218,216,[np.int64(486)],0.9685650182626452,[np.float64(2.2908285104787405)],[np.float64(3.231547265505902)],[np.float64(163.59091104020044)]
0,220,219,,0.9685650182627287,,,
0,221,219,,0.9685650182627276,,,
0,223,222,,0.9685650182627404,,,
0,224,222,[np.int64(297)],0.968565018262647,[np.float64(2.3200808373270982)],[np.float64(3.075580774475505)],[np.float64(134.28961957025356)]
0,226,225,,0.9685650182625775,,,
0,227,225,[np.int64(312)],0.9685650182625738,[np.float64(2.203042765635671)],[np.float64(2.896155672658137)],[np.float64(127.47062374265693)]
0,229,228,,0.9685650182627346,,,
0,230,228,[np.int64(201)],0.9685650182627376,[np.float64(1.9931633066757357)],[np.float64(2.955306625020498)],[np.float64(171.95509935707437)]
0,232,231,,0.9685650182627629,,,
0,233,231,,0.9685650182625857,,,
0,235,234,[np.int64(54)],0.9685650182624266,[np.float64(2.178005923298394)],[np.float64(2.8133390277857675)],[np.float64(121.95639541845148)]
0,236,234,[np.int64(237)],0.9685650182624154,[np.float64(2.268579279724329)],[np.float64(3.144012457453549)],[np.float64(149.8560328765725)]
0,238,237,[np.int64(507)],0.9685650182627408,[np.float64(2.254818562356436)],[np.float64(3.1876207670338714)],[np.float64(161.3534026998561)]
0,239,237,[np.int64(228)],0.9685650182627317,[np.float64(1.9451235607248503)],[np.float64(2.769603232822453)],[np.float64(141.50596319128462)]
0,241,240,,0.9685650182626488,,,
0,242,240,[np.int64(213)],0.9685650182627502,[np.float64(1.8863304591323686)],[np.float64(2.828906023157563)],[np.float64(163.6528739214209)]
0,244,243,,0.96856501826272,,,
0,245,243,,0.9685650182627336,,,
0,247,246,,0.9685650182625056,,,
0,248,246,[np.int64(624)],0.9685650182625021,[np.float64(2.313367161877886)],[np.float64(3.276436595619345)],[np.float64(172.72836066820653)]
0,250,249,[np.int64(105)],0.9685650182627314,[np.float64(2.040426867356064)],[np.float64(2.881816594432828)],[np.float64(144.1410288433468)]
0,251,249,[np.int64(246)],0.9685650182627358,[np.float64(2.068298738926798)],[np.float64(2.822672583289807)],[np.float64(133.3732939095665)]
0,253,252,[np.int64(255)],0.9685650182627317,[np.float64(2.317069573947257)],[np.float64(3.1837235714748298)],[np.float64(148.55184600953274)]
0,254,252,[np.int64(261)],0.9685650182627481,[np.float64(2.2432431722784267)],[np.float64(3.1358796314582613)],[np.float64(152.7586427434172)]
0,256,255,,0.9685650182626702,,,
0,257,255,,0.968565018262762,,,
0,259,258,[np.int64(285)],0.9685650182627453,[np.float64(2.1288911981505287)],[np.float64(2.952522289536321)],[np.float64(141.94099523118243)]
0,260,258,[np.int64(171)],0.9685650182626525,[np.float64(2.1017084638562973)],[np.float64(3.055729536246253)],[np.float64(167.99127382486105)]
0,262,261,[np.int64(639)],0.9685650182627396,[np.float64(2.0162782263418273)],[np.float64(2.7894604353482233)],[np.float64(135.328323200661)]
0,263,261,,0.9685650182626453,,,
0,265,264,,0.968565018262758,,,
0,266,264,[np.int64(291)],0.9685650182627472,[np.float64(2.2282816624553807)],[np.float64(3.163024438306084)],[np.float64(161.8356944081133)]
0,268,267,[np.int64(294)],0.9685650182627171,[np.float64(2.344305007605949)],[np.float64(3.252727444238009)],[np.float64(155.92991221411722)]
0,269,267,,0.9685650182627136,,,
0,271,270,,0.968565018262667,,,
0,272,270,[np.int64(195)],0.9685650182627469,[np.float64(2.3611788613050524)],[np.float64(3.171906476266143)],[np.float64(140.86307240457307)]
0,274,273,,0.9685650182626792,,,
0,275,273,[np.int64(270)],0.9685650182627568,[np.float64(2.3558647612174384)],[np.float64(3.0227551681257636)],[np.float64(125.48036017850586)]
0,277,276,,0.9685650182625831,,,
0,278,276,,0.9685650182625719,,,
0,280,279,[np.int64(252)],0.9685650182627262,[np.float64(2.1659990686604034)],[np.float64(3.051681667914934)],[np.float64(151.37806180309798)]
0,281,279,[np.int64(204)],0.968565018262736,[np.float64(2.2653051822309185)],[np.float64(3.0985424159725468)],[np.float64(143.58266226819842)]
0,283,282,,0.9685650182627182,,,
0,284,282,[np.int64(279)],0.9685650182627257,[np.float64(2.0358893863656613)],[np.float64(2.990412185722552)],[np.float64(168.14055575668925)]
0,286,285,,0.9685650182625936,,,
0,287,285,,0.9685650182625941,,,
0,289,288,,0.9685650182627185,,,
0,290,288,,0.9685650182627319,,,
0,292,291,[np.int64(318)],0.968565018262735,[np.float64(2.269781853027067)],[np.float64(2.922734827612827)],[np.float64(123.90035176269113)]
0,293,291,[np.int64(282)],0.9685650182627324,[np.float64(2.361812960437545)],[np.float64(3.2206775857501304)],[np.float64(147.4499808676609)]
0,295,294,[np.int64(321)],0.9685650182625631,[np.float64(2.1536655654463193)],[np.float64(2.900644682359172)],[np.float64(132.85176219579628)]
0,296,294,[np.int64(291)],0.9685650182625695,[np.float64(1.956896284127458)],[np.float64(2.7123114695306714)],[np.float64(133.07813610009356)]
0,298,297,[np.int64(300)],0.9685650182625644,[np.float64(2.255400059841715)],[np.float64(3.185938174590863)],[np.float64(160.77095269764308)]
0,299,297,[np.int64(567)],0.9685650182626533,[np.float64(2.3058018154823725)],[np.float64(3.257256195876712)],[np.float64(167.1559899428193)]
0,301,300,,0.9685650182627428,,,
0,302,300,,0.9685650182627412,,,
0,304,303,,0.9685650182627413,,,
0,305,303,,0.968565018262647,,,
0,307,306,,0.968565018262512,,,
0,308,306,,0.9685650182625125,,,
0,310,309,,0.9685650182627479,,,
0,311,309,[np.int64(282)],0.968565018262745,[np.float64(2.1007598326583077)],[np.float64(2.9645274982288594)],[np.float64(147.63068224545927)]
0,313,312,,0.9685650182627373,,,
0,314,312,,0.9685650182626603,,,
0,316,315,,0.968565018262576,,,
0,317,315,[np.int64(318)],0.9685650182624921,[np.float64(2.366096895576235)],[np.float64(3.0317168357867788)],[np.float64(125.39502044389911)]
0,319,318,[np.int64(315)],0.9685650182627431,[np.float64(2.1450044184223813)],[np.float64(3.0317168357867788)],[np.float64(151.51519588467352)]
0,320,318,,0.9685650182627362,,,
0,322,321,[np.int64(591)],0.9685650182626528,[np.float64(2.3672860010570873)],[np.float64(3.2592839162716944)],[np.float64(152.8584839099576)]
0,323,321,,0.9685650182626605,,,
0,325,324,,0.9685650182625798,,,
0,326,324,[np.int64(333)],0.9685650182625799,[np.float64(2.342952445253133)],[np.float64(3.0349121072835588)],[np.float64(127.82245089563649)]
0,328,327,,0.9685650182625074,,,
0,329,327,,0.9685650182624996,,,
0,331,330,[np.int64(510)],0.9685650182625593,[np.float64(1.923869453656825)],[np.float64(2.727665670764526)],[np.float64(138.72255381609418)]
0,332,330,[np.int64(327)],0.9685650182625615,[np.float64(2.087873915001814)],[np.float64(2.7916514830817922)],[np.float64(128.10703997479484)]
0,334,333,[np.int64(342)],0.9685650182627453,[np.float64(2.3291301523979966)],[np.float64(3.2308792410459177)],[np.float64(154.59768378183432)]
0,335,333,[np.int64(360)],0.9685650182626624,[np.float64(2.0811338377966315)],[np.float64(2.925732434258245)],[np.float64(144.7116847815206)]
0,337,336,,0.9685650182627592,,,
0,338,336,[np.int64(333)],0.9685650182627529,[np.float64(2.3896659791228907)],[np.float64(3.14937981551882)],[np.float64(134.94240445635978)]
0,340,339,[np.int64(366)],0.968565018262652,[np.float64(2.151115246622056)],[np.float64(3.0825356021559216)],[np.float64(160.85878326809433)]
0,341,339,[np.int64(414)],0.9685650182626577,[np.float64(2.069600849666048)],[np.float64(2.761523036902055)],[np.float64(126.85546514993814)]
0,343,342,[np.int64(345)],0.9685650182627631,[np.float64(2.2147519765885564)],[np.float64(2.925885989061555)],[np.float64(129.30334903346198)]
0,344,342,,0.9685650182626776,,,
0,346,345,[np.int64(489)],0.9685650182627643,[np.float64(2.3369958523823593)],[np.float64(3.053011556384482)],[np.float64(130.18646243801382)]
0,347,345,[np.int64(372)],0.9685650182627665,[np.float64(2.3278989567175885)],[np.float64(3.2847762923679333)],[np.float64(169.40225352671763)]
0,349,348,,0.9685650182627221,,,
0,350,348,,0.9685650182627261,,,
0,352,351,,0.9685650182626026,,,
0,353,351,[np.int64(378)],0.9685650182625963,[np.float64(2.100234882090161)],[np.float64(2.861048165183806)],[np.float64(134.20247073057442)]
0,355,354,,0.9685650182627543,,,
0,356,354,[np.int64(534)],0.9685650182627377,[np.float64(2.1759778215022103)],[np.float64(2.861621868405603)],[np.float64(126.64578880710478)]
0,358,357,,0.968565018262599,,,
0,359,357,[np.int64(354)],0.9685650182625807,[np.float64(2.3658835368984277)],[np.float64(3.015321147244176)],[np.float64(123.90721899310489)]
0,361,360,,0.9685650182627167,,,
0,362,360,[np.int64(369)],0.9685650182627229,[np.float64(2.31408800204041)],[np.float64(3.0031309028231394)],[np.float64(127.44822738637447)]
0,364,363,,0.96856501826272,,,
0,365,363,[np.int64(360)],0.9685650182627138,[np.float64(2.336119703148282)],[np.float64(2.9973114253065156)],[np.float64(124.88659978058656)]
0,367,366,[np.int64(357)],0.9685650182625094,[np.float64(2.3927546177780328)],[np.float64(3.199682530123069)],[np.float64(140.46185157736812)]
0,368,366,,0.9685650182626067,,,
0,370,369,[np.int64(513)],0.9685650182626534,[np.float64(2.2809501907397522)],[np.float64(3.17124036263878)],[np.float64(152.40631227773397)]
0,371,369,,0.968565018262735,,,
0,373,372,[np.int64(375)],0.9685650182627605,[np.float64(1.856096639791625)],[np.float64(2.70325149250854)],[np.float64(144.42331520896502)]
0,374,372,[np.int64(363)],0.9685650182627509,[np.float64(2.2687647950488663)],[np.float64(3.097856190198113)],[np.float64(143.02998994102046)]
0,376,375,,0.9685650182625688,,,
0,377,375,,0.9685650182625745,,,
0,379,378,[np.int64(381)],0.9685650182625798,[np.float64(2.065778293396022)],[np.float64(2.944870643257188)],[np.float64(150.03287291163787)]
0,380,378,[np.int64(0)],0.9685650182626757,[np.float64(2.216147949298924)],[np.float64(3.135056656711327)],[np.float64(157.95660485618788)]
0,382,381,,0.9685650182627384,,,
0,383,381,,0.9685650182627407,,,
0,385,384,,0.9685650182627386,,,
0,386,384,[np.int64(459)],0.9685650182626456,[np.float64(2.334960471315329)],[np.float64(3.1224237398293955)],[np.float64(137.96284535373354)]
0,388,387,,0.9685650182625123,,,
0,389,387,,0.9685650182626031,,,
0,391,390,,0.9685650182627428,,,
0,392,390,[np.int64(363)],0.9685650182627421,[np.float64(2.3008705179722417)],[np.float64(3.075127079240785)],[np.float64(136.3364236874013)]
0,394,393,,0.9685650182627386,,,
0,395,393,,0.9685650182626593,,,
0,397,396,,0.9685650182625551,,,
0,398,396,,0.9685650182625629,,,
0,400,399,[np.int64(396)],0.9685650182627524,[np.float64(2.0939867817196736)],[np.float64(2.963080944941171)],[np.float64(148.45581420964012)]
0,401,399,[np.int64(390)],0.9685650182627453,[np.float64(2.0229482411051194)],[np.float64(2.886041146582568)],[np.float64(147.331294021397)]
0,403,402,[np.int64(477)],0.9685650182627172,[np.float64(2.2986015422369235)],[np.float64(3.259934835980303)],[np.float64(171.64989537706262)]
0,404,402,[np.int64(375)],0.9685650182627148,[np.float64(2.0398104881464154)],[np.float64(2.934049461537959)],[np.float64(152.6506740090143)]
0,406,405,,0.968565018262547,,,
0,407,405,,0.9685650182625604,,,
0,409,408,,0.968565018262444,,,
0,410,408,,0.9685650182624411,,,
0,412,411,,0.9685650182626533,,,
0,413,411,[np.int64(408)],0.9685650182627473,[np.float64(1.9817018507400959)],[np.float64(2.8153995673170433)],[np.float64(142.88609175183979)]
0,415,414,[np.int64(423)],0.9685650182627235,[np.float64(2.2690079087306287)],[np.float64(3.2347247659216127)],[np.float64(174.75067265630506)]
0,416,414,[np.int64(441)],0.9685650182627433,[np.float64(1.9696425115570972)],[np.float64(2.9160461721306263)],[np.float64(165.01568631810693)]
0,418,417,,0.968565018262669,,,
0,419,417,,0.9685650182627559,,,
0,421,420,[np.int64(447)],0.9685650182627271,[np.float64(2.0738104769602725)],[np.float64(2.9992146617358713)],[np.float64(159.24265043583264)]
0,422,420,[np.int64(333)],0.9685650182627242,[np.float64(2.2860243263571287)],[np.float64(2.909614130634923)],[np.float64(121.31860842876439)]
0,424,423,[np.int64(153)],0.9685650182627501,[np.float64(1.9262965437395327)],[np.float64(2.769888798595078)],[np.float64(144.12324969694785)]
0,425,423,[np.int64(567)],0.968565018262656,[np.float64(2.122530136591364)],[np.float64(3.012744748155316)],[np.float64(152.09025919185325)]
0,427,426,[np.int64(570)],0.9685650182627521,[np.float64(2.255777695073455)],[np.float64(2.9653748032601004)],[np.float64(129.2845847450955)]
0,428,426,[np.int64(453)],0.9685650182627477,[np.float64(2.3528091329215526)],[np.float64(3.1410915702837148)],[np.float64(138.10528152691182)]
0,430,429,,0.9685650182627079,,,
0,431,429,[np.int64(159)],0.9685650182627126,[np.float64(2.143280402770369)],[np.float64(3.0555971928692327)],[np.float64(156.41167350988704)]
0,433,432,[np.int64(441)],0.9685650182627493,[np.float64(2.346931750481752)],[np.float64(3.0819773941299373)],[np.float64(132.17493676057842)]
0,434,432,[np.int64(357)],0.9685650182627323,[np.float64(2.0335440307821853)],[np.float64(2.9519490814101945)],[np.float64(157.5457051494354)]
0,436,435,,0.968565018262764,,,
0,437,435,,0.9685650182627409,,,
0,439,438,[np.int64(411)],0.9685650182625977,[np.float64(2.196628580313106)],[np.float64(3.1230437082506577)],[np.float64(159.6706676974459)]
0,440,438,,0.9685650182625805,,,
0,442,441,[np.int64(432)],0.9685650182627227,[np.float64(2.2324789352056826)],[np.float64(3.0819773941299373)],[np.float64(145.79316411333886)]
0,443,441,,0.9685650182627223,,,
0,445,444,,0.9685650182627139,,,
0,446,444,[np.int64(441)],0.9685650182627185,[np.float64(2.1128015093047376)],[np.float64(2.962416294624337)],[np.float64(145.5222977903139)]
0,448,447,[np.int64(438)],0.9685650182625111,[np.float64(2.393158787381902)],[np.float64(3.154890175193275)],[np.float64(135.17429941932522)]
0,449,447,[np.int64(360)],0.968565018262518,[np.float64(2.3280521037374418)],[np.float64(3.0756028166618314)],[np.float64(133.44901737569347)]
0,451,450,,0.9685650182627331,,,
0,452,450,[np.int64(441)],0.9685650182627271,[np.float64(2.2464178231069707)],[np.float64(3.0862205509679064)],[np.float64(144.44421963155042)]
0,454,453,[np.int64(480)],0.9685650182627517,[np.float64(2.3714462751203533)],[np.float64(3.0583263885565715)],[np.float64(127.42075298206028)]
0,455,453,,0.9685650182626581,,,
