Frame,Donor,Acceptor,Distance
50,561,552,2.894867973530901
50,564,561,2.9119919450110094
50,567,594,2.6497496208638873
50,570,579,3.1633529351569454
50,570,300,2.853075745342009
50,573,570,3.0472124411933823
50,573,582,2.7168616210591185
50,576,306,3.1545512307785004
50,576,585,2.872707268045681
50,579,588,2.824439241783758
50,579,576,2.805386041637635
50,582,609,3.0907585729430154
50,582,495,2.9617956736609323
50,585,405,2.7620787702457923
50,588,408,2.9474930585063537
50,588,591,2.8973137476517117
50,591,582,2.9626838620855205
50,591,618,2.906454392914011
50,594,603,3.317957064887593
50,597,594,2.671961460980645
50,600,513,2.916951964026653
50,600,573,2.722056083653525
50,603,606,2.9103584929813975
50,603,630,2.810501352425742
50,606,615,3.189158828157625
50,606,579,2.693217001500705
50,612,603,2.8678769642345108
50,612,585,2.876932137552318
50,615,612,2.7283241835436205
50,621,630,3.0202185123521685
50,624,627,2.9045356822835764
50,624,597,2.787091607178425
50,627,249,3.017617698273537
50,630,252,3.2724352812351625
50,633,624,2.635926857143669
50,633,255,3.0647341325020165
50,636,633,3.021577166790886
50,639,642,3.0649798465447393
50,642,633,2.87205754310085
50,642,615,2.851166970694461
50,645,636,3.0798249389503534
50,645,267,2.7831580683107844
100,0,9,2.8554002449235387
100,0,378,3.183369484281725
100,3,183,2.7514503829466763
100,6,186,2.7099553595967314
100,6,3,2.783415380664476
100,9,18,2.955987908702941
100,9,12,2.9681685592987663
100,12,39,3.2114276775928503
100,12,390,2.8834340837161396
100,15,81,2.7789347293058513
100,18,96,3.0893216318498187
100,18,483,3.072048816629279
100,18,396,2.749296134560765
100,21,12,2.907335830296233
100,24,51,3.088133689699799
100,24,15,3.002401377647359
100,27,0,2.5926589963855715
100,27,30,2.8710560916309187
100,27,54,2.64021475951681
100,30,36,3.1540898629167695
100,30,57,2.6512119557929585
100,33,6,2.9193794518349674
100,33,42,3.070366008172612
100,33,213,2.772863855021911
100,39,33,3.0683821800867324
100,39,66,3.1939851867215134
100,42,51,2.708056362121725
100,42,39,2.8215349132437533
100,45,18,2.703794282279408
100,45,48,2.864034638366633
100,48,75,2.641799207835354
100,51,195,2.987689618191964
100,51,126,3.0898858966717393
100,54,234,2.8865883786875988
100,54,150,3.1422253233345097
100,54,141,3.1028178343686297
100,57,33,2.5424664532676147
100,60,33,2.906241465893372
100,63,36,2.789978548857834
100,66,63,2.852195924055346
100,69,144,2.8683666795312255
100,69,330,3.1925307100671074
100,72,159,2.8045690634116567
100,72,216,2.9528256625812244
100,75,72,2.8543088283891276
100,78,423,2.7994345932461555
100,84,264,2.943545268827927
100,84,462,2.7761858754234443
100,87,93,2.8109640574431305
100,90,117,2.836352685033882
100,93,84,2.9612948123901908
100,96,9,3.0246938112282633
100,96,93,2.846511284705083
100,99,90,2.891424055036394
100,102,480,2.9809865723616134
100,102,246,3.042908917444921
100,105,96,2.9361749200249103
100,105,102,2.960774772534858
100,108,288,2.627067892084329
100,111,108,2.831808375707412
100,114,111,2.9443828598550064
100,114,123,2.8769639606890913
100,117,42,2.998280991475385
100,117,144,3.2596325156294603
100,120,147,2.8920206473234655
100,123,120,3.09887234050434
100,129,132,2.9553952420054608
100,132,276,2.9160237608210453
100,132,45,3.021645128498183
100,135,405,2.700882194179955
